protocol_type,service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
1,45,5,0,0,0,43,31,0,7,0,63,43,0,0,0
1,19,5,0,0,0,43,31,9,9,25,63,43,0,0,0
1,45,4,1,0,0,0,0,75,0,1,0,0,97,61,0
1,9,5,0,0,0,43,31,7,6,2,63,43,0,0,0
1,50,2,127,652,1,0,0,75,0,43,0,0,40,4,1
1,29,1,0,0,0,0,0,14,8,1,0,0,97,61,0
1,50,9,31,770,1,0,0,75,0,39,0,0,0,0,1
1,25,5,0,0,0,43,31,8,5,9,63,43,0,0,0
1,45,5,0,0,0,43,31,16,6,10,63,43,0,0,0
1,22,9,337,673,1,0,0,75,0,100,0,0,0,0,1
1,22,9,286,250,1,0,0,75,0,100,0,0,0,0,1
1,22,9,281,89,1,0,0,75,0,100,0,1,0,0,1
1,50,9,13,716,1,0,0,75,0,53,0,0,0,0,1
2,11,9,509,140,0,0,0,75,0,100,0,0,0,0,1
1,50,9,640,840,1,0,0,75,0,87,0,0,0,0,1
1,50,9,266,719,1,0,0,47,52,60,1,2,0,1,1
1,2,5,0,0,0,43,31,1,7,1,63,43,0,0,0
1,22,9,289,887,1,10,8,75,0,100,3,0,0,0,1
1,45,5,0,0,0,43,31,4,7,4,63,43,0,0,0
1,45,1,0,0,0,0,0,12,6,8,0,0,97,61,0
2,45,9,373,0,0,0,0,75,0,66,9,0,24,0,0
1,22,9,339,633,1,0,0,75,0,100,0,0,2,0,1
1,19,5,0,0,0,43,31,9,5,10,63,43,0,0,0
1,50,9,27,712,1,0,0,75,0,55,0,0,0,0,1
1,22,9,443,105,1,0,0,75,0,100,0,1,42,57,1
1,45,5,0,0,0,43,31,6,6,8,63,43,0,0,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,7,5,0,0,0,43,31,4,6,2,63,43,0,0,0
1,22,9,455,645,1,0,0,75,0,100,0,0,0,0,1
1,45,1,0,0,0,0,0,0,40,0,0,0,97,61,0
1,45,5,0,0,0,43,31,9,6,5,63,43,0,0,0
1,19,9,366,0,0,0,0,75,0,17,0,0,0,0,1
1,50,9,380,781,1,0,0,75,0,55,0,0,0,0,1
1,22,9,387,1071,1,0,0,75,0,100,0,0,0,0,1
1,22,9,301,1295,1,0,0,75,0,100,0,0,0,0,1
1,22,9,392,108,1,0,0,75,0,100,0,0,0,0,1
1,55,1,0,0,0,0,0,47,52,0,0,0,97,61,0
1,22,9,329,334,1,0,0,75,0,100,0,0,0,0,1
1,52,5,0,0,0,30,31,1,34,0,33,43,26,0,0
1,45,5,0,0,0,43,31,7,5,6,63,43,0,0,0
1,50,9,630,718,1,0,0,75,0,58,0,9,0,0,1
1,2,5,0,0,0,43,31,3,8,2,63,43,0,0,0
2,11,9,501,862,0,0,0,75,0,94,0,0,0,0,1
1,22,9,395,99,1,0,0,75,0,100,0,0,0,0,1
1,22,9,280,709,1,0,0,75,0,100,0,0,0,0,1
1,22,9,319,1191,1,0,0,75,0,100,0,0,0,0,1
1,50,9,312,707,1,0,0,75,0,55,0,0,0,0,1
1,22,9,223,849,1,0,0,75,0,100,0,0,0,0,1
1,22,9,310,946,1,0,0,75,0,100,0,0,0,0,1
1,50,9,367,781,1,0,0,75,0,100,0,1,0,0,1
1,22,9,328,374,1,0,0,75,0,100,0,0,0,0,1
1,37,5,0,0,0,43,31,14,6,8,63,43,0,0,0
1,45,5,0,0,0,43,31,6,7,6,63,43,0,0,0
1,22,9,237,1260,1,0,0,75,0,100,0,0,0,0,1
0,14,9,17,0,0,0,0,75,0,72,0,0,0,0,0
1,45,5,0,0,0,43,31,5,6,4,63,43,0,0,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
2,11,9,502,1195,0,0,0,74,1,95,0,0,0,0,1
1,45,5,0,0,0,43,31,5,6,7,63,43,0,0,0
1,45,1,0,0,0,7,0,0,52,0,10,0,85,61,0
2,40,9,151,24,0,0,0,47,38,1,0,0,0,0,1
1,45,5,0,0,0,43,31,12,6,14,63,43,0,0,0
1,22,9,306,7,1,0,0,75,0,100,0,0,0,0,1
1,22,9,289,398,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,7,6,12,63,43,0,0,0
1,34,5,0,0,0,43,31,51,19,4,63,43,0,0,0
1,22,9,383,865,1,0,0,75,0,100,0,0,0,0,1
1,56,5,0,0,0,43,31,21,14,25,63,43,0,0,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,61,5,0,0,0,43,31,0,5,0,63,43,0,0,0
1,50,9,8,723,1,0,0,75,0,61,1,0,0,0,1
1,8,5,0,0,0,43,31,12,7,7,63,43,0,0,0
1,22,9,319,167,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,75,0,9,63,43,0,0,0
1,22,9,438,553,1,0,0,75,0,100,0,0,0,0,1
1,45,1,0,0,0,0,0,4,8,5,0,0,97,61,0
1,22,1,0,0,0,0,0,75,0,100,0,0,97,61,1
1,45,5,0,0,0,43,31,2,6,5,63,43,0,0,0
1,4,5,0,0,0,43,31,22,29,1,63,43,0,0,0
1,45,1,0,0,0,0,0,39,10,7,0,0,97,61,0
1,22,9,281,1066,1,0,0,75,0,100,0,0,0,0,1
2,11,9,501,862,0,0,0,75,0,99,0,0,0,0,1
1,22,9,393,299,1,0,0,75,0,100,0,0,0,0,1
1,22,9,366,771,1,0,0,75,0,100,0,0,0,0,1
1,22,9,249,577,1,0,0,75,0,100,0,0,0,0,1
2,45,9,373,0,0,1,0,73,3,37,0,0,46,0,0
1,45,1,0,0,0,0,0,7,7,4,0,0,97,61,0
1,55,5,0,0,0,43,31,8,5,8,63,43,0,0,0
1,22,9,301,941,1,0,0,75,0,100,0,0,0,0,1
1,50,9,665,818,1,0,0,75,0,10,50,0,1,0,1
1,47,5,0,0,0,43,31,4,7,3,63,43,0,0,0
2,45,9,1,0,0,0,0,75,0,13,3,0,30,0,0
1,22,9,431,144,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,8,7,1,63,43,0,0,0
1,22,9,249,157,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,10,6,2,63,43,0,0,0
1,45,5,0,0,0,43,31,8,6,2,63,43,0,0,0
2,11,9,509,1160,0,0,0,75,0,100,0,0,0,0,1
1,22,9,377,185,1,0,0,75,0,100,0,0,0,0,1
1,5,5,0,0,0,43,31,4,6,2,63,43,0,0,0
1,22,9,269,666,1,9,6,75,0,100,9,2,0,0,1
1,19,9,38,0,0,0,0,75,0,21,29,0,0,0,1
1,50,9,145,710,1,0,0,75,0,71,2,1,0,0,1
1,45,1,0,0,0,3,0,0,52,0,4,0,90,61,0
1,22,9,271,230,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,33,12,4,63,43,0,0,0
1,50,9,143,718,1,0,0,75,0,69,0,0,0,0,1
1,22,9,344,291,1,0,0,75,0,100,0,1,0,0,1
1,45,5,0,0,0,43,31,3,6,2,63,43,0,0,0
1,22,9,269,219,1,0,0,75,0,100,0,0,0,0,1
1,22,9,395,119,1,0,0,75,0,100,2,0,0,0,1
1,26,5,0,0,0,43,31,18,6,8,63,43,0,0,0
1,45,5,0,0,0,43,31,18,5,2,63,43,0,0,0
1,22,5,0,0,0,43,20,5,6,5,63,43,0,0,0
1,25,5,0,0,0,43,31,8,5,9,63,43,0,0,0
1,22,9,254,922,1,0,0,75,0,100,1,1,0,1,1
1,45,5,0,0,0,43,31,7,6,7,63,43,0,0,0
1,22,9,288,715,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,22,9,319,563,1,25,17,75,0,100,0,0,0,0,1
1,16,2,0,0,0,0,0,14,6,8,0,0,97,61,0
1,26,4,0,0,0,0,0,75,0,0,0,0,97,61,0
1,45,4,1,0,0,0,0,75,0,1,0,0,97,61,0
2,45,9,1,0,0,0,0,75,0,4,13,0,80,0,0
2,11,9,505,1093,0,0,0,75,0,92,0,0,0,0,1
1,22,9,438,176,1,0,0,75,0,100,0,0,0,0,1
1,22,9,304,894,1,0,0,75,0,100,0,0,0,0,1
1,29,5,0,0,0,43,31,6,5,5,63,43,0,0,0
1,45,1,0,0,0,0,0,10,7,13,0,0,97,61,0
1,45,5,0,0,0,43,31,3,6,5,63,43,0,0,0
1,50,9,159,721,1,0,0,75,0,63,0,0,0,0,1
1,45,5,0,0,0,43,31,2,6,7,63,43,0,0,0
1,17,5,0,0,0,43,31,75,0,19,63,29,0,0,0
1,22,9,264,1231,1,0,0,75,0,100,1,1,0,0,1
1,40,9,191,0,1,0,0,75,0,1,3,0,0,0,1
1,45,5,0,0,0,43,31,6,6,8,63,43,0,0,0
1,22,9,306,325,1,0,0,75,0,100,0,0,0,0,1
1,20,9,0,0,0,0,0,75,0,2,0,0,90,28,0
1,45,5,0,0,0,43,31,16,4,7,63,43,0,0,0
1,22,9,299,288,1,0,0,75,0,100,0,0,0,0,1
1,45,1,0,0,0,1,0,0,52,0,1,0,78,61,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,32,5,0,0,0,43,31,0,6,0,63,43,0,0,0
0,13,9,220,0,0,0,0,75,0,100,0,0,0,0,0
1,22,9,464,386,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,19,5,0,0,0,43,31,18,24,19,63,43,0,0,0
1,50,9,34,660,1,0,0,75,0,24,0,0,25,0,1
1,18,9,100,526,1,0,0,75,0,32,0,0,1,0,0
2,11,9,505,878,0,0,0,75,0,100,0,0,0,0,1
1,50,9,549,890,1,0,0,75,0,69,24,0,0,0,1
1,45,4,0,0,0,0,0,75,0,0,0,0,97,61,0
1,58,5,0,0,0,43,31,0,6,8,63,43,0,0,0
1,22,9,247,734,1,0,0,75,0,100,0,0,0,0,1
0,14,9,17,0,0,0,0,75,0,94,0,0,5,0,0
1,22,9,202,265,1,0,0,75,0,100,0,0,2,1,1
1,22,9,366,45,1,24,14,75,0,100,20,0,0,0,1
1,45,5,0,0,0,43,31,4,6,12,51,43,1,0,0
1,45,5,0,0,0,43,31,11,6,3,63,43,0,0,0
1,17,9,611,928,0,0,0,75,0,9,0,0,0,8,1
1,22,5,0,0,0,43,31,47,14,26,63,43,0,0,0
1,22,9,328,75,1,0,0,75,0,100,0,0,0,0,1
1,22,1,0,0,0,0,0,75,0,100,0,0,97,59,1
1,45,5,0,0,0,43,31,14,6,81,63,43,0,0,0
1,37,5,0,0,0,43,31,2,6,3,63,43,0,0,0
1,18,9,91,526,1,0,0,75,0,48,0,0,1,0,0
1,22,9,442,606,1,0,0,75,0,100,0,0,0,0,1
1,19,9,442,0,1,0,0,75,0,100,0,0,0,0,0
1,56,5,0,0,0,43,31,3,5,1,63,43,0,0,0
1,22,9,527,1042,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,5,8,3,63,43,0,0,0
1,22,9,280,354,1,0,0,75,0,100,0,0,0,0,1
2,40,9,1,0,0,0,0,11,11,2,0,0,0,0,0
1,22,9,229,240,1,0,0,75,0,100,0,0,0,0,1
1,19,9,593,0,1,0,0,75,0,37,0,0,0,0,1
1,22,9,301,766,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,8,6,2,63,43,0,0,0
1,50,9,623,625,1,0,0,75,0,69,0,1,0,0,1
0,14,9,397,0,0,0,0,75,0,100,0,0,0,0,1
1,22,1,0,0,0,0,0,75,0,100,0,0,97,61,1
1,17,5,0,0,0,43,31,1,7,1,63,43,0,0,0
0,14,9,523,0,0,0,0,75,0,100,0,0,0,0,0
1,22,9,449,1161,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
2,11,9,509,1145,0,0,0,75,0,89,0,0,0,0,1
1,22,9,279,632,1,0,0,75,0,100,0,0,0,0,1
0,14,9,523,0,0,0,0,75,0,100,0,0,0,0,0
2,11,9,505,166,0,0,0,75,0,100,0,0,0,0,1
2,40,9,144,24,0,0,0,75,0,0,0,0,0,0,1
1,22,9,323,1115,1,0,0,75,0,100,0,0,0,0,1
1,19,9,593,0,1,0,0,75,0,83,0,0,0,0,1
1,50,9,40,713,1,0,0,75,0,46,0,0,0,0,1
1,63,4,0,0,0,0,0,75,0,0,0,0,17,61,0
1,54,5,0,0,0,43,31,6,5,2,63,43,0,0,0
1,45,4,0,0,0,0,0,75,0,1,0,0,32,61,0
1,22,9,405,842,1,0,0,75,0,100,0,0,0,0,1
1,22,9,186,424,1,0,0,75,0,100,7,0,0,0,1
1,19,9,593,0,0,0,0,75,0,20,0,0,0,0,1
1,45,5,0,0,0,43,31,8,7,2,63,43,0,0,0
1,36,5,0,0,0,43,31,5,6,4,63,43,0,0,0
1,37,5,0,0,0,43,31,19,6,8,63,43,0,0,0
1,45,5,0,0,0,43,31,6,9,7,63,43,0,0,0
1,45,1,0,0,0,0,0,47,52,0,1,0,55,61,0
1,22,9,427,653,1,0,0,75,0,100,0,1,0,0,1
1,22,9,293,1257,1,0,0,75,0,100,0,0,0,0,1
1,22,9,347,1091,1,0,0,75,0,100,0,0,0,0,1
1,45,1,0,0,0,0,0,0,39,0,0,0,97,61,0
1,22,9,299,393,1,0,0,75,0,100,0,0,0,0,1
2,40,9,149,24,0,0,0,75,0,0,0,0,0,0,1
1,9,2,0,0,0,0,0,4,7,4,0,0,97,61,0
1,22,9,413,190,1,0,16,75,0,100,0,0,0,0,1
1,5,1,0,0,0,0,0,2,6,1,0,0,97,61,0
1,45,3,0,0,0,29,21,1,34,1,34,22,28,28,0
1,31,5,0,0,0,43,31,9,6,7,63,43,0,0,0
1,22,9,529,1196,1,0,0,75,0,100,0,0,2,2,0
1,22,9,324,1138,1,0,0,75,0,100,0,0,0,0,1
2,11,9,505,158,0,0,0,75,1,82,0,0,0,0,1
1,22,9,402,979,1,0,0,75,0,100,0,0,0,0,1
1,22,9,280,1257,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,60,5,0,0,0,43,31,5,6,3,63,43,0,0,0
1,17,5,0,0,0,43,31,27,8,24,63,43,0,0,0
1,58,5,0,0,0,43,31,1,6,1,63,43,0,0,0
0,14,9,523,0,0,0,0,75,0,100,0,0,0,0,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,19,9,231,0,1,0,0,75,0,20,0,0,0,0,1
1,45,5,0,0,0,43,31,3,7,2,63,43,0,0,0
1,22,5,0,0,0,25,21,75,0,100,32,0,0,0,1
1,22,9,246,144,1,0,0,75,0,100,0,0,0,0,1
1,17,9,611,469,0,0,0,75,0,3,0,0,0,0,1
1,22,9,276,879,1,0,0,75,0,100,0,0,0,0,1
1,22,9,431,144,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,7,5,1,63,43,0,0,0
1,20,5,0,0,0,43,31,27,11,5,63,43,0,0,0
1,8,5,0,0,0,43,31,2,7,2,63,43,0,0,0
1,22,9,289,144,1,0,0,75,0,100,0,0,0,0,1
1,27,5,0,0,0,43,31,3,7,1,63,43,0,0,0
1,18,9,102,526,1,0,0,75,0,52,0,0,0,0,0
1,50,9,654,701,1,0,0,75,0,44,0,0,0,0,1
1,2,5,0,0,0,43,31,6,6,7,63,43,0,0,0
1,22,9,442,623,1,0,0,75,0,100,0,0,0,1,1
1,61,5,0,0,0,43,31,5,7,5,63,43,0,0,0
1,22,1,0,0,0,0,0,75,0,100,0,0,97,61,1
1,22,9,356,607,1,0,0,75,0,96,0,0,0,0,1
1,18,9,19,668,1,0,0,75,0,9,0,0,0,0,1
1,22,9,337,928,1,21,15,75,0,100,0,0,0,0,1
1,22,9,264,457,1,0,0,75,0,100,0,0,0,0,1
1,40,9,622,0,1,16,0,5,44,1,5,0,0,0,1
1,45,5,0,0,0,43,31,11,6,8,63,43,0,0,0
1,45,5,0,0,0,43,31,1,7,1,63,43,0,0,0
2,11,9,505,1176,0,0,0,75,0,97,0,0,0,0,1
1,22,9,458,204,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,2,6,2,63,43,0,0,0
1,2,5,0,0,0,43,31,6,6,6,63,43,0,0,0
1,45,5,0,0,0,43,31,2,7,2,63,43,0,0,0
1,22,9,229,234,1,0,0,75,0,100,0,0,0,0,1
0,14,9,523,0,0,0,0,75,0,100,0,0,0,0,0
1,53,5,0,0,0,43,31,47,52,0,63,43,0,0,0
1,19,9,621,0,1,0,0,75,0,100,0,0,0,0,0
1,56,5,0,0,0,43,31,24,12,9,63,33,0,0,0
1,22,5,0,0,0,43,31,6,5,7,63,43,0,0,0
1,30,5,0,0,0,43,31,15,5,2,63,43,0,0,0
0,59,9,222,0,0,0,0,47,52,44,0,0,0,0,1
1,45,5,0,0,0,43,31,11,6,11,63,43,0,0,0
1,23,5,0,0,0,43,31,7,6,1,63,43,0,0,0
1,56,5,0,0,0,43,31,25,6,15,63,43,0,0,0
1,18,5,0,0,0,43,31,7,6,7,63,43,0,0,0
1,2,1,0,0,0,0,0,4,7,3,0,0,97,61,0
1,22,9,257,201,1,0,0,75,0,100,0,0,0,1,1
1,22,9,529,1196,1,0,0,75,0,100,0,0,6,6,0
1,15,5,0,0,0,43,31,14,6,1,63,43,0,0,0
1,22,9,289,1218,1,0,0,75,0,100,0,0,0,0,1
1,22,9,308,390,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
2,40,9,149,0,0,0,0,20,48,0,0,0,0,0,1
1,22,9,366,642,1,0,0,75,0,100,0,0,0,0,1
1,22,9,420,681,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,6,8,2,63,43,0,0,0
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,16,5,0,0,0,43,31,12,7,4,63,43,0,0,0
1,19,9,442,0,1,0,0,75,0,100,0,0,0,0,0
0,14,9,17,0,0,0,0,75,0,83,0,0,0,0,0
1,45,5,0,0,0,43,31,3,7,1,63,43,0,0,0
1,5,5,0,0,0,43,31,5,6,6,63,43,0,0,0
1,22,9,321,46,1,0,0,75,0,100,0,0,0,0,1
1,22,9,389,454,1,0,0,75,0,100,0,0,0,0,1
1,33,5,0,0,0,43,31,4,7,0,63,43,0,0,0
1,25,1,0,0,0,0,0,4,7,4,0,0,97,61,0
2,11,9,505,136,0,0,0,75,0,70,0,0,0,0,1
2,11,9,509,196,0,0,0,75,0,99,0,0,0,0,1
1,22,9,289,743,1,0,0,75,0,100,0,0,0,0,1
1,45,3,0,0,0,33,24,4,32,1,21,27,6,20,0
1,50,9,64,721,1,0,0,75,0,94,0,0,0,0,1
1,10,9,513,926,1,0,0,2,3,0,0,0,0,0,1
1,45,5,0,0,0,43,31,1,7,7,63,43,0,0,0
2,40,9,151,24,0,0,0,75,0,0,0,0,0,0,1
1,19,9,182,0,1,0,0,75,0,23,42,31,0,0,1
1,22,9,315,1129,1,0,0,75,0,100,0,0,0,0,1
1,17,5,0,0,0,43,31,24,12,25,63,43,0,0,0
1,19,9,508,0,1,0,0,75,0,28,0,0,0,0,1
1,18,9,68,724,1,0,0,47,52,14,2,0,0,0,1
1,19,9,493,0,0,0,0,75,0,9,0,0,0,0,1
1,22,1,0,0,0,0,0,75,0,100,0,0,55,60,1
1,9,5,0,0,0,43,31,9,7,8,63,43,0,0,0
1,45,5,0,0,0,43,31,32,7,9,63,43,0,0,0
1,22,9,407,1250,1,0,0,75,0,100,1,0,0,0,1
0,14,9,523,0,0,0,0,75,0,100,0,0,0,0,0
1,22,9,294,924,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,6,6,5,63,43,0,0,0
1,45,5,0,0,0,42,31,16,7,7,63,43,0,0,0
1,22,9,276,723,1,0,0,75,0,100,0,0,0,0,1
1,22,9,255,983,1,0,0,75,0,100,0,0,0,0,1
2,40,9,149,0,0,0,0,33,45,0,0,0,0,0,1
1,45,5,0,0,0,43,31,7,6,3,63,43,0,0,0
1,22,9,293,208,1,0,0,75,0,100,0,0,0,0,1
1,20,5,0,0,0,43,31,8,5,9,63,43,0,0,0
1,17,9,611,188,0,0,0,47,52,4,0,0,0,0,1
1,3,9,108,835,0,0,0,75,0,1,0,0,0,0,1
2,45,9,23,231,0,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,19,9,202,0,0,0,0,75,0,17,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,19,9,369,0,0,0,0,75,0,30,0,0,0,0,1
0,13,9,220,0,0,0,0,75,0,100,0,0,0,0,0
1,45,5,0,0,0,43,31,44,26,7,63,43,0,0,0
1,55,1,0,0,0,0,0,0,7,0,0,0,97,61,0
1,6,1,0,0,0,0,0,0,7,0,0,0,97,61,0
1,43,9,488,152,1,0,0,33,45,4,1,0,1,0,1
2,11,9,509,182,0,0,0,75,0,71,0,0,0,0,1
1,45,5,0,0,0,43,31,6,7,3,63,43,0,0,0
1,33,5,0,0,0,43,31,6,5,2,63,43,0,0,0
1,45,5,0,0,0,43,31,2,7,7,63,43,0,0,0
1,22,9,308,134,1,0,0,75,0,100,0,0,45,6,1
2,40,9,522,834,0,0,0,75,0,100,0,0,0,0,1
1,22,9,444,142,1,0,0,75,0,100,0,0,0,0,1
1,22,1,0,0,0,0,0,75,0,100,0,2,97,57,1
2,40,9,522,834,0,0,0,75,0,100,0,0,0,0,1
1,18,9,4,667,1,0,0,75,0,22,0,0,1,2,1
